00000000,00000001,0000,00000001,0
00000001,00000001,0001,00000000,1
12341234,11111111,0001,01230123,0
f2341234,01111111,0000,f3452345,0
10101010,00000004,0111,01010101,0
f0101010,00000004,0111,ff010101,0
10101010,00000004,1010,01010101,0
f0101010,00000004,1010,0f010101,0
10101010,00000004,1001,01010100,0
f0101010,00000004,1001,01010100,0
01010101,20202020,1101,00000000,0
f0f0f0f0,20202020,1101,20202020,0
01010101,ffffffff,1101,01010101,0
12341234,ffffffff,1110,ffffffff,0
43214321,00000000,1110,43214321,0
01010101,12341234,1110,13351335,0
12341234,ffffffff,1110,ffffffff,0
43214321,00000000,1110,43214321,0
12121212,12121212,1110,12121212,1
12341234,12341234,1011,00000001,1
ffffffff,00000001,1011,00000000,0
12341234,12341234,1100,00000000,1
ffffffff,00000001,1100,00000001,0
12341234,12341234,0010,00000000,1
ffffffff,00000001,0010,00000001,0
12341234,12341234,0011,00000001,1
ffffffff,00000001,0011,00000001,0
12341234,12341234,0100,00000000,1
ffffffff,00000001,0100,00000000,0
12341234,12341234,0101,00000001,1
ffffffff,00000001,0101,00000000,0
